nom_Person	categorie	nb_Production	aver_Note	sum_numVotes
Ron Shelton	director	26	6.4	765728
Jonathan Hensleigh	director	9	6.4	760425
Asghar Farhadi	director	17	7.8	753846
Kirk DeMicco	director	9	7.0	746244
Anton Corbijn	director	19	6.8	745502
Jeremy Saulnier	director	11	6.8	744009
Stuart Baird	director	9	6.5	739044
Jonathan Glazer	director	9	6.5	737658
Frank Marshall	director	29	6.7	737654
Sanjay Leela Bhansali	director	27	7.3	736560
Michael Crichton	director	23	6.7	736155
Lynne Ramsay	director	7	7.2	734307
Peter Lord	director	7	7.0	731890
Juan José Campanella	director	22	8.1	730092
Rakeysh Omprakash Mehra	director	18	7.7	726807
Rodrigo Cortés	director	15	6.7	726309
Mike Cahill	director	11	7.0	726053
Nicholas Meyer	director	21	7.4	723971
John Milius	director	23	6.7	721736
Stefano Sollima	director	12	6.8	714162
Wim Wenders	director	66	7.3	713849
Mark Romanek	director	10	7.0	711745
Vivek Agnihotri	director	22	8.4	708786
Katsuhiro Ôtomo	director	23	7.8	707899
Julie Taymor	director	18	7.2	704175
Satoshi Kon	director	12	7.8	703596
Ashutosh Gowariker	director	44	7.8	703292
Mamoru Oshii	director	54	7.6	703244
J. Lee Thompson	director	116	6.5	699596
Christopher Smith	director	21	6.5	699571
Karey Kirkpatrick	director	9	6.6	699096
Joseph L. Mankiewicz	director	57	7.5	698376
François Ozon	director	50	6.9	698048
Shekhar Kapur	director	42	7.1	691091
Lorene Scafaria	director	9	6.5	690651
Prashanth Neel	director	9	8.3	686709
Walter Salles	director	29	6.8	685955
Andrew Lau	director	109	7.3	676090
Fatih Akin	director	41	7.1	676031
Jean-François Richet	director	23	6.7	675149
Kirk Jones	director	11	6.4	671831
Emir Kusturica	director	49	7.8	671659
Angelina Jolie	director	113	6.8	671025
Rod Lurie	director	27	6.7	670854
Lee Toland Krieger	director	9	7.1	665492
Michael Showalter	director	31	7.1	662608
Craig Brewer	director	18	6.6	661000
Arthur Penn	director	39	7.4	655623
Lexi Alexander	director	8	7.0	652481
David Bowers	director	14	6.4	645056
Chuck Jones	director	91	7.0	644721
Penelope Spheeris	director	45	6.6	643865
Jacques Audiard	director	21	7.4	634780
Leigh Janiak	director	11	6.4	633908
Jeff Fowler	director	9	6.5	629790
Mel Stuart	director	44	7.8	629712
Imtiaz Ali	director	23	7.2	627878
Peter Webber	director	22	6.4	623537
Damián Szifron	director	8	8.1	623417
Lone Scherfig	director	18	7.0	622540
Kimberly Peirce	director	7	6.7	622530
Mamoru Hosoda	director	24	7.6	619500
Otto Preminger	director	107	7.4	616837
Paul King	director	20	7.5	613006
S. Craig Zahler	director	8	7.1	612077
Troy Duffy	director	7	7.4	611922
Gina Prince-Bythewood	director	14	6.7	611796
Richard Schenkman	director	24	7.7	610750
Paolo Sorrentino	director	24	7.2	608122
Robert Redford	director	158	7.1	606538
William Cottrell	director	7	7.6	605601
Kabir Khan	director	21	7.0	603926
Stanley Kramer	director	43	7.7	602940
Daniel Alfredson	director	39	7.0	599827
Vincente Minnelli	director	97	7.0	599145
Peter Yates	director	61	6.9	597460
Mike Leigh	director	33	7.4	597431
A.R. Murugadoss	director	32	7.2	594725
John McNaughton	director	32	6.6	592321
Simon Curtis	director	25	7.2	587862
Marco Brambilla	director	7	6.6	582266
John Schlesinger	director	46	7.0	580608
Mark Mylod	director	12	6.7	578955
Dennis Gansel	director	22	6.6	578426
Scott Waugh	director	8	6.4	577688
Miguel Sapochnik	director	8	6.6	576465
Mark Herman	director	13	7.5	576193
Michael Hoffman	director	32	6.5	575448
Daniel Myrick	director	15	6.4	574274
Mark Pellington	director	25	6.8	571467
Roland Joffé	director	34	6.8	570265
Henry Hathaway	director	151	7.0	570117
Christian Ditter	director	14	6.6	566352
Farhan Akhtar	director	40	7.6	565944
Judy Morris	director	36	6.4	565836
Ken Loach	director	64	7.3	558351
Ericson Core	director	9	6.7	557469
Carlos López Estrada	director	9	7.3	555903
Craig Zobel	director	15	6.4	553226
Álex de la Iglesia	director	51	6.6	551413
Jennifer Kent	director	8	6.9	551305
Alan Mak	director	53	7.6	548706
Hal Ashby	director	28	7.6	548061
Joe Berlinger	director	40	6.4	547338
Scott Frank	director	11	6.7	546493
Clay Kaytis	director	8	6.6	545417
Gabor Csupo	director	11	6.9	543421
Marjane Satrapi	director	13	7.2	540596
Michael Powell	director	106	7.6	538747
Barbet Schroeder	director	42	6.4	536401
Stuart Gordon	director	33	6.5	534431
Peter Bogdanovich	director	77	7.4	534395
Hideaki Anno	director	39	7.6	531800
Ol Parker	director	10	6.6	531783
Alfonso Gomez-Rejon	director	9	7.3	530091
Michael Davis	director	36	6.5	528297
Emerald Fennell	director	7	7.5	527670
Ava DuVernay	director	16	6.8	524736
James Whale	director	53	7.7	524297
S. Shankar	director	38	7.4	524239
Michaël R. Roskam	director	8	7.0	523728
Stuart Rosenberg	director	42	7.6	522666
Lee Daniels	director	13	6.8	519766
Peter Hedges	director	13	6.8	519270
Nicolas Roeg	director	36	6.9	518798
Les Clark	director	12	7.2	517478
Don Coscarelli	director	25	6.5	516816
Gregor Jordan	director	19	6.7	516815
Anurag Basu	director	29	7.5	516590
John Michael McDonagh	director	10	7.2	513718
Bilall Fallah	director	15	6.5	511728
Adil El Arbi	director	15	6.5	511728
Anthony Mann	director	117	7.1	511106
Luis Buñuel	director	55	7.7	508206
Justin Chadwick	director	20	6.7	508193
Adam Brooks	director	36	7.1	507110
